주문 ID,상품 코드,상품명,주문 일시,수량,주문 상태,결제 수단,주문 금액
O0481755E7E,65907,에코 사이판 힐링 스파 패키지,2025-01-03 11:26:24,2,완료,카드,182000
O79F4FBA5EC,65907,에코 사이판 힐링 스파 패키지,2025-09-09 01:55:39,5,완료,간편결제,199500
OAE7644CB86,65907,에코 사이판 힐링 스파 패키지,2025-02-07 07:58:19,4,배송중,계좌이체,97000
OE4AF166F58,65907,에코 사이판 힐링 스파 패키지,2024-09-14 18:35:34,1,완료,간편결제,123000
OFABDC952B0,65907,에코 사이판 힐링 스파 패키지,2024-11-25 09:16:16,1,배송중,무통장,50000
OF882C66374,65907,에코 사이판 힐링 스파 패키지,2025-04-29 02:04:53,4,결제대기,카드,52000
OCA62FEF1F1,65907,에코 사이판 힐링 스파 패키지,2025-04-21 13:11:54,1,배송중,간편결제,22500
O4D360A4662,65907,에코 사이판 힐링 스파 패키지,2025-08-28 21:07:26,2,완료,무통장,146500
O5CC56259F2,65907,에코 사이판 힐링 스파 패키지,2025-02-13 17:37:35,4,결제대기,카드,135500
O0085FBB3F7,65907,에코 사이판 힐링 스파 패키지,2024-12-18 14:32:44,2,완료,계좌이체,31500
O3D87944F02,65907,에코 사이판 힐링 스파 패키지,2025-07-17 19:56:06,1,배송중,무통장,95500
O833D986975,65907,에코 사이판 힐링 스파 패키지,2025-03-20 07:32:42,3,결제대기,무통장,142500
OD74EFDBA6B,65907,에코 사이판 힐링 스파 패키지,2025-07-19 15:44:52,1,완료,계좌이체,143000
OF2A93ED941,65907,에코 사이판 힐링 스파 패키지,2024-11-21 07:27:28,2,완료,무통장,116000
O6A1D269305,65907,에코 사이판 힐링 스파 패키지,2024-10-19 00:34:22,5,취소,간편결제,92000
O021500DBA6,65907,에코 사이판 힐링 스파 패키지,2025-04-18 19:57:57,4,완료,카드,41500
O076720419B,65907,에코 사이판 힐링 스파 패키지,2024-12-11 13:51:20,1,완료,간편결제,186000
O1CDE80D123,65907,에코 사이판 힐링 스파 패키지,2025-02-23 23:52:57,1,완료,계좌이체,162500
O5AC59AC483,65907,에코 사이판 힐링 스파 패키지,2025-07-15 05:05:07,4,취소,계좌이체,56000
O8B989872F5,65907,에코 사이판 힐링 스파 패키지,2024-11-23 15:50:58,3,완료,간편결제,76000
ODF607724D0,65907,에코 사이판 힐링 스파 패키지,2024-11-06 00:06:37,4,취소,계좌이체,158500
O402F68A567,65907,에코 사이판 힐링 스파 패키지,2025-05-20 14:58:29,3,배송중,무통장,129000
O9ECB1DA28F,65907,에코 사이판 힐링 스파 패키지,2024-12-21 21:05:39,4,결제대기,카드,21500
O33FB60A75B,65907,에코 사이판 힐링 스파 패키지,2025-02-22 13:42:03,1,배송중,카드,56500
O167FCF9FF9,65907,에코 사이판 힐링 스파 패키지,2025-01-15 16:02:01,2,배송중,무통장,73000
OB27666588D,58317,액티브 세부 문화유적 탐방,2024-12-16 13:06:16,2,배송중,계좌이체,26500
O46B30E5521,58317,액티브 세부 문화유적 탐방,2025-08-20 10:39:40,4,완료,카드,194000
O428A07866C,58317,액티브 세부 문화유적 탐방,2025-02-17 21:15:16,5,배송중,간편결제,186500
OE6FD255A86,58317,액티브 세부 문화유적 탐방,2024-12-04 04:09:07,3,결제대기,계좌이체,89000
OCC35EC6AF9,58317,액티브 세부 문화유적 탐방,2025-06-19 17:45:00,5,배송중,카드,39000
O9712E88462,54953,트렌디 타이베이 비치 투어,2025-03-09 02:45:00,5,결제대기,카드,106500
O69D6DA568C,54953,트렌디 타이베이 비치 투어,2024-10-25 10:51:06,5,완료,무통장,155000
O62A09EDC3B,54953,트렌디 타이베이 비치 투어,2024-10-05 17:50:44,1,결제대기,간편결제,171500
OD795A96E3C,54953,트렌디 타이베이 비치 투어,2025-04-16 03:35:10,1,완료,카드,189000
OE6E2A932D7,54953,트렌디 타이베이 비치 투어,2025-07-29 16:11:08,3,완료,카드,179000
O49A1C2E24E,54953,트렌디 타이베이 비치 투어,2025-04-22 19:38:06,3,완료,무통장,133500
O6910812C2A,54953,트렌디 타이베이 비치 투어,2025-06-27 01:12:49,5,완료,계좌이체,157000
OF823B02A42,54953,트렌디 타이베이 비치 투어,2025-08-24 00:04:24,3,취소,계좌이체,53500
O125E8DA609,54953,트렌디 타이베이 비치 투어,2024-12-08 22:02:30,5,배송중,카드,32000
O57D3ED9AE1,54953,트렌디 타이베이 비치 투어,2024-12-31 10:09:54,3,완료,간편결제,70000
O4E0F13E7D6,54953,트렌디 타이베이 비치 투어,2025-04-19 14:18:34,1,배송중,무통장,129000
O7B70BBFDC6,54953,트렌디 타이베이 비치 투어,2025-01-17 14:13:28,4,결제대기,계좌이체,51000
O71FB8069B9,54953,트렌디 타이베이 비치 투어,2024-12-25 09:35:18,3,배송중,계좌이체,26000
O805C720B9F,54953,트렌디 타이베이 비치 투어,2024-09-12 03:53:20,4,완료,카드,173000
O713EFC9B65,54953,트렌디 타이베이 비치 투어,2025-08-31 02:32:10,2,배송중,카드,29000
O50E70B5726,54953,트렌디 타이베이 비치 투어,2025-04-07 21:42:18,5,배송중,간편결제,142000
O1594187F33,54953,트렌디 타이베이 비치 투어,2025-06-11 07:44:50,4,완료,간편결제,36500
OD60DC07011,54953,트렌디 타이베이 비치 투어,2025-07-03 13:30:33,2,결제대기,무통장,155000
O5926BA9EF8,54953,트렌디 타이베이 비치 투어,2024-09-23 03:49:51,2,취소,무통장,104000
O809CE45366,12476,럭셔리 바르셀로나 미식 탐방,2024-11-24 18:38:48,5,결제대기,무통장,193000
O6C512F19D4,12476,럭셔리 바르셀로나 미식 탐방,2025-08-06 00:03:54,5,취소,무통장,115500
OEDC5D89A8D,12476,럭셔리 바르셀로나 미식 탐방,2025-02-02 04:30:48,5,완료,간편결제,148000
O52E2433709,12476,럭셔리 바르셀로나 미식 탐방,2025-09-06 00:12:47,3,완료,무통장,64000
O7F171ED31E,12476,럭셔리 바르셀로나 미식 탐방,2025-01-10 17:22:18,4,완료,무통장,144000
O03A6C2F975,12476,럭셔리 바르셀로나 미식 탐방,2025-06-09 18:43:17,3,완료,간편결제,16000
O56ECD24C3E,12476,럭셔리 바르셀로나 미식 탐방,2024-10-11 15:44:50,1,완료,계좌이체,37000
O96CA3D5AF3,30973,액티브 사이판 힐링 스파 패키지,2024-12-28 00:03:41,3,완료,간편결제,121500
O964A1F96A7,30973,액티브 사이판 힐링 스파 패키지,2025-03-21 01:17:38,1,결제대기,간편결제,28000
O01B39C82C3,30973,액티브 사이판 힐링 스파 패키지,2024-10-11 10:39:23,3,배송중,간편결제,156000
O4E863AB9DA,30973,액티브 사이판 힐링 스파 패키지,2024-09-17 09:17:11,2,결제대기,간편결제,39000
O1B07DCB7D2,30973,액티브 사이판 힐링 스파 패키지,2025-08-10 20:04:37,2,배송중,계좌이체,63000
O28F0A453ED,30973,액티브 사이판 힐링 스파 패키지,2025-03-12 15:48:06,3,완료,카드,122500
O2C207F3B56,30973,액티브 사이판 힐링 스파 패키지,2025-03-31 10:23:39,1,배송중,간편결제,87500
O399A0E416D,30973,액티브 사이판 힐링 스파 패키지,2025-03-11 09:20:03,4,배송중,계좌이체,37500
OCE4840EF7A,30973,액티브 사이판 힐링 스파 패키지,2025-01-31 18:47:02,2,완료,계좌이체,149500
OF61372B66F,30973,액티브 사이판 힐링 스파 패키지,2025-01-15 23:20:50,3,완료,간편결제,18500
O4F2D7DAAA6,30973,액티브 사이판 힐링 스파 패키지,2024-10-16 13:26:54,3,배송중,무통장,145000
OAA31AC1699,30973,액티브 사이판 힐링 스파 패키지,2025-03-07 03:49:52,3,결제대기,계좌이체,195000
OF3C7D383BA,30973,액티브 사이판 힐링 스파 패키지,2025-08-10 14:45:03,1,완료,간편결제,85500
OE5A98BA3A7,30973,액티브 사이판 힐링 스파 패키지,2025-06-19 18:22:22,4,배송중,무통장,68500
OFA1CA4E8FB,30973,액티브 사이판 힐링 스파 패키지,2025-03-26 20:48:05,2,완료,카드,188500
O2ECDF8B927,30973,액티브 사이판 힐링 스파 패키지,2024-12-01 18:45:48,2,완료,계좌이체,170000
ODAB56DC259,30973,액티브 사이판 힐링 스파 패키지,2025-01-19 13:43:40,2,배송중,무통장,186000
O0BF79797E3,30973,액티브 사이판 힐링 스파 패키지,2024-11-02 00:22:26,3,배송중,카드,50000
OE7FB2FD2E7,19009,힐링형 나폴리 드라이브 코스,2024-10-13 11:17:54,5,배송중,무통장,59000
OBE5D82BF28,19009,힐링형 나폴리 드라이브 코스,2024-09-11 04:51:59,5,취소,무통장,105500
OA5C8530818,19009,힐링형 나폴리 드라이브 코스,2025-06-11 03:01:05,2,완료,계좌이체,15000
O32F489567F,19009,힐링형 나폴리 드라이브 코스,2025-07-10 04:13:42,5,배송중,계좌이체,51500
OA8B3BF15B8,43278,탐험형 발리 문화유적 탐방,2025-06-11 07:01:30,2,취소,계좌이체,104500
O410DCDCE31,43278,탐험형 발리 문화유적 탐방,2025-06-11 16:35:13,1,완료,카드,176500
OA1ADECDBD2,43278,탐험형 발리 문화유적 탐방,2025-06-22 20:48:37,4,배송중,카드,64000
O7ADAC4CA8D,43278,탐험형 발리 문화유적 탐방,2025-07-06 02:39:36,1,결제대기,카드,122500
O8F7E4C97AB,43278,탐험형 발리 문화유적 탐방,2024-12-12 00:47:25,2,완료,카드,195000
O10264DBA18,43278,탐험형 발리 문화유적 탐방,2024-12-06 10:43:05,1,배송중,무통장,179500
O1FCA6F4679,43278,탐험형 발리 문화유적 탐방,2025-03-09 22:58:32,2,완료,계좌이체,93500
O6CAAFBC64B,36725,탐험형 프라하 힐링 스파 패키지,2025-06-09 13:10:35,1,완료,계좌이체,58500
OF3635953C5,36725,탐험형 프라하 힐링 스파 패키지,2025-09-08 20:03:29,5,배송중,간편결제,174000
OF1D14FC8EF,36725,탐험형 프라하 힐링 스파 패키지,2025-04-15 20:29:38,4,결제대기,무통장,199500
OB70220D63D,36725,탐험형 프라하 힐링 스파 패키지,2025-03-30 04:08:56,1,취소,간편결제,10500
O49E3059EFB,36725,탐험형 프라하 힐링 스파 패키지,2025-05-08 00:01:44,1,완료,간편결제,28500
OE2F38CC48F,36725,탐험형 프라하 힐링 스파 패키지,2024-10-16 10:37:31,5,완료,간편결제,121500
OFC4ECE5643,36725,탐험형 프라하 힐링 스파 패키지,2024-12-22 09:52:50,3,완료,간편결제,91500
O73C22E406A,36725,탐험형 프라하 힐링 스파 패키지,2025-08-19 15:39:53,5,배송중,무통장,134000
O32CECF4536,25343,레저형 프라하 초호화 리조트,2024-12-17 10:08:23,4,완료,무통장,158000
OA77E3677F9,25343,레저형 프라하 초호화 리조트,2025-01-23 05:43:45,1,완료,계좌이체,80500
OAB38C98F11,25343,레저형 프라하 초호화 리조트,2025-03-16 12:56:45,3,결제대기,계좌이체,134000
O02C8508807,25343,레저형 프라하 초호화 리조트,2025-08-06 18:11:24,1,결제대기,카드,55500
ODE58B79BC2,25343,레저형 프라하 초호화 리조트,2025-05-26 02:41:22,4,배송중,간편결제,117500
O9027A84587,25343,레저형 프라하 초호화 리조트,2025-07-13 17:01:06,4,결제대기,무통장,57500
OB03D5C2C16,25343,레저형 프라하 초호화 리조트,2025-01-27 15:18:58,4,완료,카드,72500
O564184F20D,25343,레저형 프라하 초호화 리조트,2025-06-23 18:14:53,5,배송중,간편결제,85000
OE52334C34E,25343,레저형 프라하 초호화 리조트,2024-09-25 06:39:46,4,취소,무통장,121000
OD7229F1C55,25343,레저형 프라하 초호화 리조트,2025-08-25 11:51:15,4,결제대기,간편결제,21500
O9459A92071,25343,레저형 프라하 초호화 리조트,2025-03-11 19:13:20,4,완료,무통장,184500
O80F1E5FF7B,25343,레저형 프라하 초호화 리조트,2025-05-16 22:03:54,3,결제대기,계좌이체,73000
OB28ECB36DE,25343,레저형 프라하 초호화 리조트,2024-11-10 03:21:11,5,완료,계좌이체,199000
O430DBC6A95,25343,레저형 프라하 초호화 리조트,2024-11-12 03:53:52,2,배송중,간편결제,110500
O5B1CD473E9,25343,레저형 프라하 초호화 리조트,2024-12-16 13:02:47,2,완료,무통장,150000
O658652417C,25343,레저형 프라하 초호화 리조트,2024-11-19 21:43:32,5,완료,계좌이체,119500
O3854A71B17,25343,레저형 프라하 초호화 리조트,2025-06-15 02:53:18,3,완료,간편결제,103000
OCD450C8D4F,25343,레저형 프라하 초호화 리조트,2024-12-28 05:54:26,3,취소,간편결제,110500
O4EF861926B,79070,활기찬 발리 시내 야경 투어,2025-05-06 14:43:49,2,배송중,간편결제,103000
OBB63DE89E8,79070,활기찬 발리 시내 야경 투어,2025-02-20 15:38:23,1,결제대기,간편결제,43000
OE8D6E7EFE9,79070,활기찬 발리 시내 야경 투어,2024-11-18 20:55:13,4,완료,계좌이체,19500
OB9CA9CB582,79070,활기찬 발리 시내 야경 투어,2025-08-21 23:46:50,2,배송중,간편결제,127500
O0E37336897,79070,활기찬 발리 시내 야경 투어,2025-01-24 00:11:24,1,배송중,간편결제,25000
OACFD68FAA7,79070,활기찬 발리 시내 야경 투어,2025-04-19 04:44:12,1,취소,카드,11500
O72568084C0,79070,활기찬 발리 시내 야경 투어,2025-01-25 19:02:57,5,취소,간편결제,152000
O32DCC5EA71,90258,설레는 부다페스트 초호화 리조트,2025-03-03 11:53:12,2,완료,카드,149000
OE499029E19,90258,설레는 부다페스트 초호화 리조트,2025-09-01 23:48:14,3,완료,간편결제,80500
O108C08649E,90258,설레는 부다페스트 초호화 리조트,2025-07-27 00:49:29,1,완료,무통장,26000
OE8756D04BC,90258,설레는 부다페스트 초호화 리조트,2025-02-14 22:16:20,3,배송중,무통장,167000
OE9197F9027,90258,설레는 부다페스트 초호화 리조트,2024-11-07 13:48:34,4,배송중,카드,180000
OAFF08E92A5,90258,설레는 부다페스트 초호화 리조트,2025-04-21 11:20:37,5,완료,간편결제,121000
O75487AB3AC,90258,설레는 부다페스트 초호화 리조트,2024-12-17 04:25:39,1,완료,카드,184500
O4CBCF24E6F,90258,설레는 부다페스트 초호화 리조트,2024-11-17 10:41:18,2,완료,간편결제,73000
O8C13186A45,90258,설레는 부다페스트 초호화 리조트,2025-05-20 16:46:42,2,결제대기,계좌이체,55500
O27A45E7FBC,90258,설레는 부다페스트 초호화 리조트,2024-10-27 10:00:46,4,완료,계좌이체,40000
O21BBD89E81,90258,설레는 부다페스트 초호화 리조트,2025-01-13 14:18:18,2,완료,간편결제,109000
O00C1D8462B,90258,설레는 부다페스트 초호화 리조트,2025-07-09 09:47:12,3,배송중,카드,47000
OCB1BE42987,90258,설레는 부다페스트 초호화 리조트,2025-08-20 20:11:25,5,완료,무통장,122000
OADC0A46657,90258,설레는 부다페스트 초호화 리조트,2025-02-19 06:33:37,2,배송중,카드,77500
O3A7985DBB8,90258,설레는 부다페스트 초호화 리조트,2024-11-22 17:18:41,4,결제대기,무통장,79000
O479BBC7B17,90258,설레는 부다페스트 초호화 리조트,2024-12-12 04:59:12,1,완료,간편결제,99000
OE5AD13C051,90258,설레는 부다페스트 초호화 리조트,2024-11-04 07:12:00,4,취소,계좌이체,188500
O2A5B19CDA1,90258,설레는 부다페스트 초호화 리조트,2024-10-31 02:33:37,3,결제대기,무통장,158500
O2ED5D7C5B6,90258,설레는 부다페스트 초호화 리조트,2025-01-01 01:24:01,3,완료,무통장,117000
OCCA37DFCCC,90258,설레는 부다페스트 초호화 리조트,2025-02-05 01:00:51,1,배송중,간편결제,177000
O9CB267DDD7,90258,설레는 부다페스트 초호화 리조트,2025-02-04 15:19:14,2,배송중,계좌이체,109000
O0D9FC7F023,17841,스페셜 크로아티아 도심 미술 투어,2025-01-09 07:16:09,4,완료,카드,68500
O3C426B0D6E,17841,스페셜 크로아티아 도심 미술 투어,2024-11-13 10:07:21,3,취소,무통장,30500
OD7A20256B3,17841,스페셜 크로아티아 도심 미술 투어,2025-08-14 05:51:29,5,완료,간편결제,115000
ODEE0B88CD4,17841,스페셜 크로아티아 도심 미술 투어,2025-07-29 03:57:11,2,결제대기,간편결제,177000
O8054669DD3,17841,스페셜 크로아티아 도심 미술 투어,2024-10-26 20:16:22,1,완료,무통장,193000
O7A8EEAE71A,17841,스페셜 크로아티아 도심 미술 투어,2025-07-13 01:46:44,4,완료,계좌이체,100500
O48158D94AF,17841,스페셜 크로아티아 도심 미술 투어,2025-03-16 16:04:27,1,완료,무통장,46500
OB7FE16D293,17841,스페셜 크로아티아 도심 미술 투어,2025-01-15 14:29:17,3,완료,간편결제,57500
OFBB2A7FADD,17841,스페셜 크로아티아 도심 미술 투어,2024-11-28 09:03:48,2,완료,계좌이체,54000
O2D70C576BD,30847,미식형 싱가포르 트레킹 여행,2024-11-21 09:35:21,5,배송중,무통장,161500
O5DE2D5AAAA,30847,미식형 싱가포르 트레킹 여행,2025-09-08 16:18:38,2,완료,계좌이체,106000
OD93490C29B,30847,미식형 싱가포르 트레킹 여행,2025-07-22 16:26:40,4,결제대기,계좌이체,137500
OD8D007CB28,30847,미식형 싱가포르 트레킹 여행,2024-10-25 04:07:25,4,완료,간편결제,97500
O0FE622B291,30847,미식형 싱가포르 트레킹 여행,2025-08-03 15:38:13,5,배송중,계좌이체,192500
O41619777A3,30847,미식형 싱가포르 트레킹 여행,2024-09-17 15:47:39,2,완료,무통장,25000
OE6DBDB7FD0,30847,미식형 싱가포르 트레킹 여행,2024-10-30 01:07:05,4,완료,카드,31000
O3A9351ED3E,30847,미식형 싱가포르 트레킹 여행,2024-11-20 04:34:09,3,완료,무통장,172500
O41DFE4CB9F,30847,미식형 싱가포르 트레킹 여행,2025-03-10 15:35:48,4,취소,간편결제,21500
OCE4F82091D,30847,미식형 싱가포르 트레킹 여행,2025-08-18 13:59:14,1,완료,계좌이체,21000
OA2139644D4,30847,미식형 싱가포르 트레킹 여행,2025-01-03 02:05:03,4,완료,카드,20500
O6845568C10,30847,미식형 싱가포르 트레킹 여행,2024-10-20 11:18:50,3,완료,계좌이체,180500
O8C00DFB6BB,30847,미식형 싱가포르 트레킹 여행,2025-06-05 15:01:53,1,취소,계좌이체,181500
O8B1BFC1FDE,30847,미식형 싱가포르 트레킹 여행,2025-05-16 07:38:37,4,완료,무통장,165500
O8E24092786,30847,미식형 싱가포르 트레킹 여행,2024-11-20 03:17:01,5,완료,간편결제,182500
OA75EAF71AA,30847,미식형 싱가포르 트레킹 여행,2025-02-05 03:26:48,1,완료,간편결제,123500
O97DC27B7B0,30847,미식형 싱가포르 트레킹 여행,2025-06-14 11:41:47,4,결제대기,무통장,147500
OAE2215C08D,30847,미식형 싱가포르 트레킹 여행,2024-11-15 11:30:05,2,완료,무통장,171500
O06DF8C8701,30847,미식형 싱가포르 트레킹 여행,2025-04-20 03:35:39,5,배송중,계좌이체,80500
O9378A86369,30847,미식형 싱가포르 트레킹 여행,2025-07-19 23:20:49,2,완료,계좌이체,198000
O625B232D4C,30847,미식형 싱가포르 트레킹 여행,2025-03-09 06:58:30,3,배송중,간편결제,158000
OEDF846839C,30847,미식형 싱가포르 트레킹 여행,2025-02-06 10:13:54,4,완료,카드,62500
O187A343BFB,30847,미식형 싱가포르 트레킹 여행,2024-12-23 08:15:35,3,배송중,계좌이체,175000
OBE75BB9A7C,30847,미식형 싱가포르 트레킹 여행,2025-06-18 05:14:41,3,완료,무통장,114500
OC7ADD6580A,30847,미식형 싱가포르 트레킹 여행,2025-07-15 22:05:29,2,완료,계좌이체,87000
OC49AA1CE78,30847,미식형 싱가포르 트레킹 여행,2025-04-24 04:21:19,4,완료,카드,58000
O75AA20A7AC,80163,스냅투어 보라카이 골프 리조트,2024-11-17 03:35:03,3,완료,카드,25500
O7FED78534B,80163,스냅투어 보라카이 골프 리조트,2025-05-13 15:07:37,2,완료,간편결제,75500
O529A5D89A7,80163,스냅투어 보라카이 골프 리조트,2024-12-01 02:06:07,5,완료,카드,124000
O3BEDB4F9FF,80163,스냅투어 보라카이 골프 리조트,2025-07-29 01:45:34,1,결제대기,계좌이체,68500
O68DC397ECF,80163,스냅투어 보라카이 골프 리조트,2024-10-28 00:23:48,5,완료,무통장,19500
O37121DFD8B,80163,스냅투어 보라카이 골프 리조트,2025-08-25 17:11:15,1,결제대기,카드,170000
O91608B973C,80163,스냅투어 보라카이 골프 리조트,2025-08-27 14:43:39,1,완료,무통장,86500
O1BEA4EAED1,80163,스냅투어 보라카이 골프 리조트,2025-09-08 01:41:23,2,배송중,계좌이체,114000
O7819721843,80163,스냅투어 보라카이 골프 리조트,2024-09-23 14:27:35,2,배송중,무통장,154000
O03DB7D1B97,80163,스냅투어 보라카이 골프 리조트,2025-06-01 13:08:34,1,완료,무통장,68000
O14A863AB99,80163,스냅투어 보라카이 골프 리조트,2025-07-28 13:26:01,1,결제대기,계좌이체,114500
O4A8360500D,80163,스냅투어 보라카이 골프 리조트,2025-01-07 02:43:47,4,완료,계좌이체,161000
OD9F2F7CFEF,80163,스냅투어 보라카이 골프 리조트,2025-05-28 18:25:36,1,배송중,계좌이체,76500
OE1A752307E,80163,스냅투어 보라카이 골프 리조트,2025-01-29 18:49:57,2,배송중,카드,97500
O771662DD80,47313,레저형 부다페스트 골프 리조트,2025-04-15 15:48:38,4,결제대기,카드,125000
O2D81BC62F4,47313,레저형 부다페스트 골프 리조트,2025-02-19 19:03:39,5,완료,계좌이체,26000
O1735AE644F,47313,레저형 부다페스트 골프 리조트,2025-02-05 01:02:40,2,취소,계좌이체,182000
O626DA0E787,47313,레저형 부다페스트 골프 리조트,2025-09-08 10:51:31,4,결제대기,간편결제,98500
O86C5131C45,47313,레저형 부다페스트 골프 리조트,2024-10-11 02:55:16,5,결제대기,카드,95500
O27F269090D,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-12-20 13:35:58,3,완료,무통장,95000
O9B3E371CDE,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-02-06 07:11:09,2,결제대기,계좌이체,176500
O3C15B5C315,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-11-29 15:38:33,1,결제대기,계좌이체,91000
O66A8A2E751,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-11-02 19:23:38,2,완료,간편결제,18500
O625B91A79B,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-10-16 17:13:16,1,배송중,계좌이체,177000
OD3F90944AC,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-07-06 09:45:45,2,완료,계좌이체,200000
OA0714BBB4C,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-04-05 13:21:33,4,완료,계좌이체,194000
ODC9D4E1ED5,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-02-24 02:34:54,4,완료,무통장,156000
O18E8ACE8A7,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-09-20 04:09:32,3,완료,카드,126500
OA0ED9D914C,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-06-15 03:51:52,3,배송중,계좌이체,188000
OC651EF879A,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-09-04 16:07:18,5,배송중,계좌이체,97000
O9AE466675F,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-05-21 12:48:16,3,완료,간편결제,14500
O0431608C31,23501,프리미엄 부다페스트 요트 선셋 크루즈,2024-11-20 08:51:40,2,결제대기,계좌이체,130000
OB87F4278F6,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-07-27 19:04:01,2,배송중,카드,94500
OC9FB817FDD,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-07-19 22:40:45,3,배송중,계좌이체,36500
O5079E2733C,23501,프리미엄 부다페스트 요트 선셋 크루즈,2025-03-11 15:50:21,5,배송중,무통장,21500
O5864BEB607,64223,도심속 오키나와 힐링 스파 패키지,2025-01-18 05:00:03,5,완료,무통장,134000
OC72E542985,64223,도심속 오키나와 힐링 스파 패키지,2024-10-31 16:12:24,3,배송중,계좌이체,181500
OEC8315A2DA,64223,도심속 오키나와 힐링 스파 패키지,2025-06-02 14:45:20,4,배송중,계좌이체,144500
O9C2734A4A4,64223,도심속 오키나와 힐링 스파 패키지,2025-07-16 16:43:22,4,완료,계좌이체,55500
O0A3F37451A,64223,도심속 오키나와 힐링 스파 패키지,2024-12-01 14:11:23,2,취소,계좌이체,49500
O2A269BE761,64223,도심속 오키나와 힐링 스파 패키지,2025-02-03 01:43:56,5,완료,간편결제,51000
O6516A6D30A,64223,도심속 오키나와 힐링 스파 패키지,2025-07-16 10:15:49,1,배송중,간편결제,192500
OE1C7DD6BED,64223,도심속 오키나와 힐링 스파 패키지,2025-07-14 14:10:33,5,완료,무통장,116500
