상품 코드,상품명,언어,카테고리,문의 유형,문의 내용,요청 ID,예약코드,예약 상태,createdAt
64332,미식형 타이베이 초호화 리조트,영어,계정,예약 변경/취소,해외 배송 가능 여부 부탁드립니다,C6AEAD,R75JAN1UE,결제대기,2025-02-28
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,리뷰 수정 문의 가능할까요,497301,RC1VNHWYP,확정,2025-08-06
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문제,영수증 발급 문의 부탁드립니다,E76CAE,R4RHKGOWU,승인대기,2025-05-09
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,배송 일정 확인 확인 바랍니다,8C0F75,RD51B2MAU,승인대기,2025-01-20
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,예약 변경 문의 부탁드립니다,CD5A6B,RCZ634EVB,승인대기,2025-01-20
64332,미식형 타이베이 초호화 리조트,홍콩어,계정,상품 문제,배송지 변경 요청 도와주세요,D22C24,,,2025-01-17
64332,미식형 타이베이 초호화 리조트,영어,계정,상품 문의,예약 변경 문의 가능할까요,F5D9FF,RBZJS35F6,승인대기,2025-04-07
65907,에코 사이판 힐링 스파 패키지,일본어,계정,상품 문제,결제 오류 문의 확인 바랍니다,487570,RO05JGIEX,승인대기,2025-01-12
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,오류 메시지 신고 가능할까요,42FD01,R8NLAWUNL,결제대기,2025-06-15
65907,에코 사이판 힐링 스파 패키지,영어,계정,상품 문제,배송 일정 확인 확인 바랍니다,28ABE5,R4VLMUH0M,승인대기,2025-05-07
65907,에코 사이판 힐링 스파 패키지,영어,계정,상품 문제,배송지 변경 요청 부탁드립니다,6EC081,R5UIJ0TS9,승인대기,2025-03-31
65907,에코 사이판 힐링 스파 패키지,일본어,계정,상품 문제,재고 상태 확인 알려주세요,B60A3E,R8B9E5Z3P,승인대기,2025-07-16
65907,에코 사이판 힐링 스파 패키지,영어,계정,상품 문제,현장 수령 가능 여부 도와주세요,9F20E7,R4B9KD2FG,결제대기,2025-08-23
65907,에코 사이판 힐링 스파 패키지,대만어,계정,시스템 사용문제,프로모션 참여 문의 알려주세요,88E891,R9STQ53GM,승인대기,2025-08-30
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,영수증 발급 문의 문의드립니다,83E960,REVR58TDJ,승인대기,2025-03-01
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,프로모션 참여 문의 확인 바랍니다,745DD5,RCLG81I67,승인대기,2025-03-23
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,예약 변경 문의 도와주세요,41A4E9,R708PBBRR,승인대기,2025-04-25
65907,에코 사이판 힐링 스파 패키지,일본어,계정,상품 문제,사용 방법 문의 확인 바랍니다,53F354,RA1Q3GB36,결제대기,2025-07-15
65907,에코 사이판 힐링 스파 패키지,영어,계정,상품 문제,리뷰 수정 문의 알려주세요,995864,R34S3OAC0,승인대기,2025-07-22
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,포장 옵션 문의 알려주세요,D92E2D,R1ZP810R3,승인대기,2025-08-31
65907,에코 사이판 힐링 스파 패키지,대만어,계정,상품 문제,회원 등급 혜택 문의 도와주세요,9B92F3,R8BFFYZ81,승인대기,2025-03-31
65907,에코 사이판 힐링 스파 패키지,영어,계정,기타,현장 수령 가능 여부 확인 바랍니다,9FD57F,,,2025-06-19
65907,에코 사이판 힐링 스파 패키지,대만어,계정,기타,배송지 변경 요청 도와주세요,960EBE,R8V8HPVGO,승인대기,2025-05-13
58317,액티브 세부 문화유적 탐방,대만어,여행,기타,결제 오류 문의 도와주세요,E85687,R50FS0V19,확정,2025-01-19
58317,액티브 세부 문화유적 탐방,대만어,여행,예약 변경/취소,환불 절차 문의 확인 바랍니다,6863BC,R55ZCQXJH,승인대기,2025-03-08
58317,액티브 세부 문화유적 탐방,대만어,여행,기타,환불 절차 문의 확인 바랍니다,90936D,,,2025-04-07
58317,액티브 세부 문화유적 탐방,대만어,여행,예약 변경/취소,결제 오류 문의 도와주세요,ACB6EA,R5Y176J38,승인대기,2025-03-22
54953,트렌디 타이베이 비치 투어,일본어,채용,기타,리뷰 수정 문의 부탁드립니다,85A881,RE5RW8N9U,확정,2025-03-26
54953,트렌디 타이베이 비치 투어,영어,채용,기타,리뷰 수정 문의 부탁드립니다,719024,R4P6G68IT,승인대기,2025-03-18
54953,트렌디 타이베이 비치 투어,영어,채용,상품 문제,포장 옵션 문의 알려주세요,394021,RD7WHHSLZ,확정,2025-02-09
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,쿠폰 적용 문제 도와주세요,584A8B,R9CS9134H,승인대기,2025-03-26
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,배송지 변경 요청 가능할까요,32FD5B,RDH3RTJNO,승인대기,2025-01-12
54953,트렌디 타이베이 비치 투어,영어,채용,기타,가격 정보 문의 알려주세요,291013,R76J6IFMP,결제대기,2025-03-21
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,가격 정보 문의 도와주세요,F1AAD6,R2JNYZ8MX,결제대기,2025-01-17
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,사용 방법 문의 문의드립니다,B7FB90,R9PK7DEP3,승인대기,2025-05-23
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,리뷰 수정 문의 가능할까요,491FD8,R12VOTML4,결제대기,2025-04-12
54953,트렌디 타이베이 비치 투어,영어,채용,기타,프로모션 참여 문의 문의드립니다,C447BF,R2YDYEG6P,결제대기,2025-06-07
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,포장 옵션 문의 문의드립니다,EDDD36,RJ696KKYG,결제대기,2025-07-11
54953,트렌디 타이베이 비치 투어,홍콩어,채용,기타,리뷰 수정 문의 도와주세요,8538AC,RE2QD19CE,승인대기,2025-08-31
12476,럭셔리 바르셀로나 미식 탐방,대만어,쇼핑,시스템 사용문제,재고 상태 확인 알려주세요,F22897,R61D9APO5,확정,2025-05-07
12476,럭셔리 바르셀로나 미식 탐방,대만어,쇼핑,시스템 사용문제,예약 변경 문의 문의드립니다,198354,RC2M73E6S,확정,2025-06-01
12476,럭셔리 바르셀로나 미식 탐방,대만어,쇼핑,시스템 사용문제,예약 변경 문의 알려주세요,7D0A0D,RF2QMOSFJ,확정,2025-08-10
12476,럭셔리 바르셀로나 미식 탐방,대만어,쇼핑,기타,현장 수령 가능 여부 문의드립니다,137D20,R416KT7CD,결제대기,2025-04-16
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,재고 상태 확인 부탁드립니다,3E66E3,RC2NTF9Q4,결제대기,2025-04-11
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,기타,배송 일정 확인 문의드립니다,64E3F4,R5VCO3TF4,결제대기,2025-06-10
30973,액티브 사이판 힐링 스파 패키지,일본어,채용,상품 문의,프로모션 참여 문의 도와주세요,242C79,R9S6VXWV0,결제대기,2025-05-14
30973,액티브 사이판 힐링 스파 패키지,영어,채용,기타,현장 수령 가능 여부 가능할까요,3BA955,RD7YWQ1NK,결제대기,2025-06-18
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,배송 일정 확인 부탁드립니다,8C0C45,R7M6NH2U1,결제대기,2025-05-09
30973,액티브 사이판 힐링 스파 패키지,홍콩어,채용,기타,해외 배송 가능 여부 부탁드립니다,3A54F1,,,2025-02-09
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,배송 일정 확인 확인 바랍니다,C8B79B,RX454WP4I,결제대기,2025-04-23
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,영수증 발급 문의 도와주세요,FB929B,,,2025-02-27
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,환불 절차 문의 가능할까요,F425AA,R7HAR0797,결제대기,2025-02-18
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,상품 문의,배송지 변경 요청 확인 바랍니다,5AF362,R51KF6BRZ,결제대기,2025-03-01
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,예약 변경/취소,해외 배송 가능 여부 부탁드립니다,6290CB,R2S4E90LH,결제대기,2025-04-01
30973,액티브 사이판 힐링 스파 패키지,대만어,채용,예약 변경/취소,오류 메시지 신고 도와주세요,BA80A3,,,2025-05-12
19009,힐링형 나폴리 드라이브 코스,영어,어학당,시스템 사용문제,예약 변경 문의 도와주세요,7DC23A,RDI8RVS40,결제대기,2025-06-28
19009,힐링형 나폴리 드라이브 코스,영어,어학당,상품 문제,사용 방법 문의 부탁드립니다,2BC688,R26M4WVEA,결제대기,2025-06-08
19009,힐링형 나폴리 드라이브 코스,영어,어학당,상품 문제,회원 등급 혜택 문의 부탁드립니다,FFC0F2,R8HHNDEU5,결제대기,2025-04-04
43278,탐험형 발리 문화유적 탐방,홍콩어,어학당,시스템 사용문제,포장 옵션 문의 가능할까요,C57969,R9ORXYCI1,승인대기,2025-04-26
43278,탐험형 발리 문화유적 탐방,대만어,어학당,시스템 사용문제,현장 수령 가능 여부 가능할까요,4F8BB7,R1RRXLF75,승인대기,2025-04-21
43278,탐험형 발리 문화유적 탐방,대만어,어학당,시스템 사용문제,예약 변경 문의 확인 바랍니다,05C97D,R170J624E,승인대기,2025-08-26
43278,탐험형 발리 문화유적 탐방,대만어,어학당,시스템 사용문제,해외 배송 가능 여부 도와주세요,8ADAB8,R4SKBX95U,승인대기,2025-05-20
36725,탐험형 프라하 힐링 스파 패키지,홍콩어,계정,예약 변경/취소,영수증 발급 문의 부탁드립니다,D3D21D,RDTWKSK3G,승인대기,2025-05-16
36725,탐험형 프라하 힐링 스파 패키지,홍콩어,계정,예약 변경/취소,회원 등급 혜택 문의 확인 바랍니다,EBB18E,,,2025-05-02
36725,탐험형 프라하 힐링 스파 패키지,홍콩어,계정,상품 문의,리뷰 수정 문의 도와주세요,5DB6CE,RCVCI461X,결제대기,2025-06-21
25343,레저형 프라하 초호화 리조트,일본어,계정,상품 문제,재고 상태 확인 부탁드립니다,F2A288,R4YSZ6QF6,승인대기,2025-07-25
25343,레저형 프라하 초호화 리조트,대만어,계정,상품 문의,영수증 발급 문의 부탁드립니다,97064C,RABRHBZRZ,확정,2025-04-07
25343,레저형 프라하 초호화 리조트,대만어,계정,상품 문의,해외 배송 가능 여부 가능할까요,4EA390,,,2025-04-06
25343,레저형 프라하 초호화 리조트,대만어,계정,상품 문의,가격 정보 문의 도와주세요,3D2673,RALUJR8ZW,승인대기,2025-06-25
25343,레저형 프라하 초호화 리조트,대만어,계정,예약 변경/취소,사용 방법 문의 문의드립니다,53BF22,R7CLVIZX5,승인대기,2025-05-18
25343,레저형 프라하 초호화 리조트,일본어,계정,상품 문제,A/S 절차 문의 확인 바랍니다,3609AC,,,2025-01-07
25343,레저형 프라하 초호화 리조트,대만어,계정,기타,A/S 절차 문의 가능할까요,C2A339,,,2025-06-09
25343,레저형 프라하 초호화 리조트,대만어,계정,상품 문제,재고 상태 확인 가능할까요,52EB08,RA3UCYB7S,승인대기,2025-04-09
25343,레저형 프라하 초호화 리조트,일본어,계정,상품 문의,배송 일정 확인 부탁드립니다,F0C6E5,,,2025-04-06
25343,레저형 프라하 초호화 리조트,일본어,계정,예약 변경/취소,가격 정보 문의 알려주세요,01C4DA,,,2025-04-27
25343,레저형 프라하 초호화 리조트,홍콩어,계정,상품 문제,영수증 발급 문의 문의드립니다,D3291C,,,2025-02-02
25343,레저형 프라하 초호화 리조트,일본어,계정,상품 문제,영수증 발급 문의 확인 바랍니다,97F9F3,R8A8XYCRU,승인대기,2025-07-13
25343,레저형 프라하 초호화 리조트,일본어,계정,상품 문제,쿠폰 적용 문제 부탁드립니다,6C8495,R7JILXX68,승인대기,2025-05-23
25343,레저형 프라하 초호화 리조트,일본어,계정,예약 변경/취소,사용 방법 문의 도와주세요,67B02E,,,2025-07-03
25343,레저형 프라하 초호화 리조트,대만어,계정,상품 문제,오류 메시지 신고 가능할까요,06A31E,RC2ZR28CP,결제대기,2025-08-10
79070,활기찬 발리 시내 야경 투어,일본어,어학당,상품 문의,쿠폰 적용 문제 알려주세요,F846A9,,,2025-05-26
79070,활기찬 발리 시내 야경 투어,일본어,어학당,예약 변경/취소,포장 옵션 문의 문의드립니다,4D9551,,,2025-04-12
79070,활기찬 발리 시내 야경 투어,일본어,어학당,상품 문의,회원 등급 혜택 문의 확인 바랍니다,D7ED66,R7LVUDC9Z,승인대기,2025-04-22
79070,활기찬 발리 시내 야경 투어,일본어,어학당,상품 문의,배송 일정 확인 알려주세요,B464B3,REHNPIWLC,승인대기,2025-05-29
79070,활기찬 발리 시내 야경 투어,일본어,어학당,상품 문의,사용 방법 문의 문의드립니다,8F7DC9,R8HNZUOUQ,확정,2025-01-08
79070,활기찬 발리 시내 야경 투어,영어,어학당,예약 변경/취소,예약 변경 문의 부탁드립니다,F5AEE0,RLU2LME25,확정,2025-06-21
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,프로모션 참여 문의 부탁드립니다,38F6DB,REL6LPO23,확정,2025-03-08
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,시스템 사용문제,프로모션 참여 문의 도와주세요,EC5602,RC2T1RZ23,확정,2025-06-14
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,재고 상태 확인 알려주세요,66221F,R29XKUXLN,승인대기,2025-06-19
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,결제 오류 문의 가능할까요,481F24,,,2025-04-16
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,시스템 사용문제,상품 상세 설명 요청 가능할까요,1B25DC,R16ZNHBK3,승인대기,2025-07-31
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,사용 방법 문의 도와주세요,53D49D,RF1KCPMWW,확정,2025-04-18
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,예약 변경 문의 확인 바랍니다,A53FD3,R3IDSTISP,승인대기,2025-01-30
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,쿠폰 적용 문제 부탁드립니다,F8F6E6,R9Q7KBTL6,승인대기,2025-03-26
90258,설레는 부다페스트 초호화 리조트,대만어,채용,상품 문의,현장 수령 가능 여부 확인 바랍니다,C74B90,R9FG441A8,승인대기,2025-01-19
90258,설레는 부다페스트 초호화 리조트,일본어,채용,상품 문의,재고 상태 확인 확인 바랍니다,DE9F7A,REA3GTWSY,승인대기,2025-06-09
90258,설레는 부다페스트 초호화 리조트,대만어,채용,상품 문의,리뷰 수정 문의 알려주세요,D5B83A,R7SWF1DJZ,결제대기,2025-08-16
90258,설레는 부다페스트 초호화 리조트,일본어,채용,상품 문의,오류 메시지 신고 문의드립니다,1AEF0D,,,2025-08-18
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,시스템 사용문제,결제 오류 문의 부탁드립니다,703075,,,2025-01-10
90258,설레는 부다페스트 초호화 리조트,일본어,채용,상품 문의,회원 등급 혜택 문의 알려주세요,C32E52,R4DIEDKQ5,승인대기,2025-03-29
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,예약 변경 문의 확인 바랍니다,F5F909,RCVHE9IBS,결제대기,2025-03-05
90258,설레는 부다페스트 초호화 리조트,일본어,채용,예약 변경/취소,배송지 변경 요청 부탁드립니다,0AB47C,R1QSSRE9U,승인대기,2025-01-25
90258,설레는 부다페스트 초호화 리조트,일본어,채용,상품 문의,사용 방법 문의 가능할까요,B75BC3,,,2025-04-12
90258,설레는 부다페스트 초호화 리조트,대만어,채용,상품 문의,재고 상태 확인 확인 바랍니다,8E3338,R1WPWDIIK,확정,2025-05-11
90258,설레는 부다페스트 초호화 리조트,대만어,채용,기타,쿠폰 적용 문제 문의드립니다,6C41C2,RC4IRL66V,확정,2025-08-13
90258,설레는 부다페스트 초호화 리조트,홍콩어,채용,상품 문의,프로모션 참여 문의 부탁드립니다,9C185A,,,2025-08-13
17841,스페셜 크로아티아 도심 미술 투어,영어,쇼핑,예약 변경/취소,예약 변경 문의 도와주세요,19B688,,,2025-01-14
17841,스페셜 크로아티아 도심 미술 투어,영어,쇼핑,예약 변경/취소,상품 상세 설명 요청 도와주세요,A73255,,,2025-05-12
17841,스페셜 크로아티아 도심 미술 투어,영어,쇼핑,예약 변경/취소,회원 등급 혜택 문의 문의드립니다,238FDF,,,2025-05-15
17841,스페셜 크로아티아 도심 미술 투어,영어,쇼핑,예약 변경/취소,상품 상세 설명 요청 문의드립니다,2F297D,R4858CWKC,승인대기,2025-04-30
30847,미식형 싱가포르 트레킹 여행,영어,여행,상품 문제,현장 수령 가능 여부 확인 바랍니다,77E703,R4VDNOGSN,승인대기,2025-01-24
30847,미식형 싱가포르 트레킹 여행,대만어,여행,상품 문의,프로모션 참여 문의 가능할까요,38FDDE,R71A1MZUI,확정,2025-06-03
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,상품 문의,재고 상태 확인 가능할까요,2A79DF,R8RDJQ0N7,확정,2025-08-08
30847,미식형 싱가포르 트레킹 여행,대만어,여행,상품 문제,배송 일정 확인 부탁드립니다,64F089,RAKBXHQVB,확정,2025-01-21
30847,미식형 싱가포르 트레킹 여행,대만어,여행,기타,해외 배송 가능 여부 부탁드립니다,8AA227,R8HEUJ6S8,확정,2025-07-08
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,상품 문의,해외 배송 가능 여부 알려주세요,126A21,,,2025-08-14
30847,미식형 싱가포르 트레킹 여행,영어,여행,기타,해외 배송 가능 여부 가능할까요,DADFED,R29CAWJU0,확정,2025-08-02
30847,미식형 싱가포르 트레킹 여행,대만어,여행,기타,가격 정보 문의 알려주세요,DD58C5,REVEMFQJ8,확정,2025-06-18
30847,미식형 싱가포르 트레킹 여행,대만어,여행,기타,추가 사진 요청 문의드립니다,A97126,RHL7OF5X0,확정,2025-07-25
30847,미식형 싱가포르 트레킹 여행,대만어,여행,상품 문의,프로모션 참여 문의 부탁드립니다,C4A80D,RBZLP81US,확정,2025-04-19
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,상품 문의,결제 오류 문의 확인 바랍니다,205130,R4F727VBH,확정,2025-07-06
30847,미식형 싱가포르 트레킹 여행,영어,여행,상품 문의,배송지 변경 요청 도와주세요,0A8C35,R1LW7X6W6,확정,2025-07-24
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,예약 변경/취소,가격 정보 문의 가능할까요,79C7F7,R1N6C69V3,확정,2025-08-22
30847,미식형 싱가포르 트레킹 여행,영어,여행,기타,재고 상태 확인 확인 바랍니다,8E0922,RCVQA2AYO,확정,2025-05-06
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,기타,포장 옵션 문의 확인 바랍니다,9DA5EC,R2DIARKLJ,승인대기,2025-02-19
30847,미식형 싱가포르 트레킹 여행,일본어,여행,상품 문제,가격 정보 문의 도와주세요,C986C9,R5B4CBV35,확정,2025-06-01
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,상품 문제,리뷰 수정 문의 부탁드립니다,996604,R6WT0J77K,확정,2025-08-21
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,기타,가격 정보 문의 문의드립니다,F12389,R8IXSG14A,확정,2025-07-28
30847,미식형 싱가포르 트레킹 여행,대만어,여행,상품 문제,배송 일정 확인 도와주세요,14B6C4,R6HTZHN53,확정,2025-05-01
30847,미식형 싱가포르 트레킹 여행,홍콩어,여행,상품 문제,쿠폰 적용 문제 가능할까요,1CDFA8,R5TPA76LH,확정,2025-01-27
80163,스냅투어 보라카이 골프 리조트,영어,계정,시스템 사용문제,쿠폰 적용 문제 가능할까요,583DA0,R82JIF9E5,결제대기,2025-05-04
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,기타,재고 상태 확인 도와주세요,02C811,R340E9CQK,결제대기,2025-01-09
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,상품 문제,리뷰 수정 문의 문의드립니다,5D2319,,,2025-03-13
80163,스냅투어 보라카이 골프 리조트,영어,계정,예약 변경/취소,결제 오류 문의 부탁드립니다,E8D2FA,RBXK7RHCC,결제대기,2025-05-15
80163,스냅투어 보라카이 골프 리조트,영어,계정,기타,오류 메시지 신고 가능할까요,7EAFDC,,,2025-05-12
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,예약 변경/취소,영수증 발급 문의 문의드립니다,BF23D2,R2KPTGAK6,결제대기,2025-01-24
80163,스냅투어 보라카이 골프 리조트,영어,계정,상품 문제,해외 배송 가능 여부 부탁드립니다,B2C020,R2SHADQLD,승인대기,2025-05-29
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,기타,현장 수령 가능 여부 확인 바랍니다,DBE115,RDU3IM1T9,결제대기,2025-06-03
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,예약 변경/취소,회원 등급 혜택 문의 문의드립니다,AF29E0,RCRZ14K66,결제대기,2025-07-07
80163,스냅투어 보라카이 골프 리조트,홍콩어,계정,예약 변경/취소,배송 일정 확인 부탁드립니다,00B45C,RCSSU8Y1L,결제대기,2025-06-02
47313,레저형 부다페스트 골프 리조트,대만어,채용,상품 문의,재고 상태 확인 부탁드립니다,8E2A8D,RBK3VP7MC,승인대기,2025-05-20
47313,레저형 부다페스트 골프 리조트,대만어,채용,기타,환불 절차 문의 가능할까요,900DF0,,,2025-05-18
47313,레저형 부다페스트 골프 리조트,대만어,채용,상품 문제,포장 옵션 문의 부탁드립니다,B19CEE,RBWW8C2QN,결제대기,2025-05-25
47313,레저형 부다페스트 골프 리조트,대만어,채용,기타,오류 메시지 신고 문의드립니다,E24DDC,,,2025-01-01
23501,프리미엄 부다페스트 요트 선셋 크루즈,일본어,여행,예약 변경/취소,리뷰 수정 문의 가능할까요,0DD938,R3VH3QN2O,승인대기,2025-05-24
23501,프리미엄 부다페스트 요트 선셋 크루즈,일본어,여행,예약 변경/취소,회원 등급 혜택 문의 알려주세요,87CA65,R10P2VY75,승인대기,2025-01-14
23501,프리미엄 부다페스트 요트 선셋 크루즈,일본어,여행,예약 변경/취소,결제 오류 문의 부탁드립니다,345456,,,2025-03-03
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,상품 문제,재고 상태 확인 부탁드립니다,7ACC87,,,2025-02-02
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,프로모션 참여 문의 도와주세요,384AB0,,,2025-05-10
23501,프리미엄 부다페스트 요트 선셋 크루즈,일본어,여행,예약 변경/취소,예약 변경 문의 부탁드립니다,6948E8,,,2025-05-22
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,사용 방법 문의 알려주세요,17D65D,,,2025-03-22
23501,프리미엄 부다페스트 요트 선셋 크루즈,대만어,여행,예약 변경/취소,배송 일정 확인 확인 바랍니다,B4B7D8,RAWEIMIKV,확정,2025-05-28
23501,프리미엄 부다페스트 요트 선셋 크루즈,대만어,여행,예약 변경/취소,상품 상세 설명 요청 알려주세요,1BA0F4,,,2025-01-29
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,프로모션 참여 문의 가능할까요,247F52,,,2025-06-17
23501,프리미엄 부다페스트 요트 선셋 크루즈,대만어,여행,상품 문의,쿠폰 적용 문제 알려주세요,6CDC88,,,2025-06-25
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,결제 오류 문의 도와주세요,348007,R8YI6SWDA,확정,2025-05-04
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,해외 배송 가능 여부 문의드립니다,624D8C,,,2025-01-25
23501,프리미엄 부다페스트 요트 선셋 크루즈,대만어,여행,시스템 사용문제,배송지 변경 요청 알려주세요,465E1F,RDVZZY51E,확정,2025-04-28
23501,프리미엄 부다페스트 요트 선셋 크루즈,홍콩어,여행,예약 변경/취소,배송지 변경 요청 문의드립니다,1E479C,,,2025-08-24
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,시스템 사용문제,예약 변경 문의 알려주세요,A50AC3,R15D06NIC,확정,2025-04-28
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,예약 변경/취소,리뷰 수정 문의 부탁드립니다,496CFF,,,2025-04-28
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,시스템 사용문제,회원 등급 혜택 문의 가능할까요,AF1F81,RDRS771YA,확정,2025-05-16
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,시스템 사용문제,회원 등급 혜택 문의 확인 바랍니다,0F99D9,R26ZJ8QWE,확정,2025-03-30
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,상품 문제,가격 정보 문의 알려주세요,B5FAB0,R2XBTURZ3,확정,2025-05-01
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,기타,영수증 발급 문의 확인 바랍니다,47F3BE,RE59LBEW0,승인대기,2025-03-20
64223,도심속 오키나와 힐링 스파 패키지,홍콩어,여행,시스템 사용문제,배송 일정 확인 알려주세요,281681,RA9JOSHKF,결제대기,2025-07-06
